session_id,DateTime,user_id,product,campaign_id,webpage_id,product_category_1,product_category_2,user_group_id,gender,age_level,user_depth,city_development_index,var_1,is_click
486864,7/3/2017 2:22,320544,H,359520,13787,3,,3,Male,3,3,3,1,0
129424,7/3/2017 2:22,908385,C,359520,13787,4,,9,Female,3,3,4,0,0
128807,7/3/2017 2:22,962338,C,359520,13787,4,,2,Male,2,3,2,0,0
132430,7/3/2017 2:23,1111474,C,359520,13787,4,,4,Male,4,3,2,1,0
71050,7/3/2017 2:23,56006,C,405490,60305,3,,5,Male,5,3,,0,1
241329,7/3/2017 2:23,175798,D,404347,53587,1,,3,Male,3,3,4,0,0
262833,7/3/2017 2:23,939874,D,98970,6970,4,,2,Male,2,2,,1,0
502562,7/3/2017 2:23,598873,H,405490,60305,3,,9,Female,3,3,2,1,0
262123,7/3/2017 2:24,56821,I,396664,51181,1,,11,Female,5,3,4,0,0
113611,7/3/2017 2:24,320544,C,359520,13787,5,,3,Male,3,3,3,1,0
430378,7/3/2017 2:24,320544,H,396664,51181,1,,3,Male,3,3,3,1,0
20749,7/3/2017 2:24,320544,C,360936,13787,5,,3,Male,3,3,3,1,0
26421,7/3/2017 2:24,320544,H,396664,51181,1,,3,Male,3,3,3,1,0
145628,7/3/2017 2:25,47903,C,359520,13787,4,,2,Male,2,3,4,0,0
426754,7/3/2017 2:25,793571,E,404347,53587,1,146115,3,Male,3,3,3,1,0
249029,7/3/2017 2:25,33481,I,396664,51181,1,,2,Male,2,3,2,1,0
81407,7/3/2017 2:25,1073037,C,405490,60305,3,,1,Male,1,3,,1,0
431680,7/3/2017 2:25,320544,H,396664,51181,1,,3,Male,3,3,3,1,0
102927,7/3/2017 2:26,33481,C,405490,60305,3,,2,Male,2,3,2,1,0
112020,7/3/2017 2:26,414406,C,405490,60305,3,,2,Male,2,3,1,0,0
501909,7/3/2017 2:26,414406,H,405490,60305,3,,2,Male,2,3,1,0,0
443395,7/3/2017 2:26,33481,I,360936,13787,2,,2,Male,2,3,2,1,0
359401,7/3/2017 2:26,33481,I,404347,53587,1,,2,Male,2,3,2,1,0
251526,7/3/2017 2:27,99346,I,396664,51181,1,,5,Male,5,3,3,0,0
449907,7/3/2017 2:27,99346,B,396664,51181,1,,5,Male,5,3,3,0,0
1205,7/3/2017 2:27,1012868,B,404347,53587,1,146115,5,Male,5,3,2,0,0
254889,7/3/2017 2:27,308230,I,396664,51181,1,,2,Male,2,3,3,1,0
422593,7/3/2017 2:27,278684,E,404347,53587,1,146115,2,Male,2,3,2,0,0
1092,7/3/2017 2:28,1115463,B,404347,53587,1,146115,2,Male,2,3,2,1,0
328933,7/3/2017 2:28,320544,H,396664,51181,1,,3,Male,3,3,3,1,0
518733,7/3/2017 2:28,909157,A,405490,60305,2,,3,Male,3,3,2,0,0
447025,7/3/2017 2:28,320544,H,360936,13787,3,,3,Male,3,3,3,1,0
14807,7/3/2017 2:28,320544,H,396664,51181,1,,3,Male,3,3,3,1,0
319617,7/3/2017 2:28,320544,H,359520,13787,4,,3,Male,3,3,3,1,0
481292,7/3/2017 2:29,26218,E,404347,53587,1,,3,Male,3,3,4,0,0
474016,7/3/2017 2:30,8930,H,359520,13787,4,,4,Male,4,3,3,0,0
148753,7/3/2017 2:30,210247,I,359520,13787,2,,1,Male,1,3,1,0,0
136710,7/3/2017 2:31,340484,C,359520,13787,4,,3,Male,3,3,1,0,0
247319,7/3/2017 2:32,702766,I,396664,51181,1,,,,,,,1,0
378577,7/3/2017 2:32,1049868,D,359520,13787,4,,4,Male,4,3,3,1,0
414037,7/3/2017 2:32,602599,J,404347,53587,1,,2,Male,2,3,2,1,0
406495,7/3/2017 2:33,226523,A,396664,51181,1,143597,2,Male,2,3,2,1,0
134715,7/3/2017 2:33,429091,C,359520,13787,4,,5,Male,5,3,,0,0
7500,7/3/2017 2:33,429091,C,105960,11085,5,270915,5,Male,5,3,,0,0
251310,7/3/2017 2:33,25073,I,396664,51181,1,,3,Male,3,3,2,0,0
8697,7/3/2017 2:33,104463,F,396664,51181,1,,1,Male,1,3,4,0,0
478850,7/3/2017 2:33,1032654,H,359520,13787,4,,3,Male,3,3,1,1,0
487391,7/3/2017 2:33,1032654,H,359520,13787,3,,3,Male,3,3,1,1,0
476548,7/3/2017 2:34,960861,H,359520,13787,4,,3,Male,3,3,4,0,0
90024,7/3/2017 2:34,392477,C,405490,60305,3,,2,Male,2,3,2,0,0
374820,7/3/2017 2:34,886373,D,359520,13787,4,,5,Male,5,3,3,0,0
472757,7/3/2017 2:35,1095577,I,404347,53587,1,419804,3,Male,3,3,4,0,0
459399,7/3/2017 2:35,313860,C,360936,13787,3,,9,Female,3,3,,1,0
22936,7/3/2017 2:35,313860,B,396664,51181,1,,9,Female,3,3,,1,0
288168,7/3/2017 2:35,313860,B,396664,51181,1,,9,Female,3,3,,1,0
314036,7/3/2017 2:35,939612,I,360936,13787,2,,3,Male,3,2,,1,0
253081,7/3/2017 2:35,843066,I,396664,51181,1,,1,Male,1,3,2,0,0
415512,7/3/2017 2:35,843066,J,404347,53587,1,,1,Male,1,3,2,0,0
259036,7/3/2017 2:35,843066,I,396664,51181,1,,1,Male,1,3,2,0,0
452504,7/3/2017 2:35,1223,C,360936,13787,3,,5,Male,5,3,3,1,0
494635,7/3/2017 2:35,8930,H,359520,13787,3,,4,Male,4,3,3,0,0
416489,7/3/2017 2:35,915638,J,404347,53587,1,,2,Male,2,3,2,1,0
153573,7/3/2017 2:36,478637,B,359520,13787,2,,3,Male,3,3,3,1,0
192608,7/3/2017 2:36,1223,C,359520,13787,4,,5,Male,5,3,3,1,0
352696,7/3/2017 2:36,1106357,C,359520,13787,5,,10,Female,4,3,4,0,0
477865,7/3/2017 2:37,694224,H,359520,13787,4,,4,Male,4,3,2,0,0
352688,7/3/2017 2:37,694224,C,359520,13787,5,,4,Male,4,3,2,0,0
342898,7/3/2017 2:37,790534,H,359520,13787,2,,11,Female,5,3,1,1,0
449882,7/3/2017 2:37,303433,B,396664,51181,1,,,,,,,0,0
479028,7/3/2017 2:37,603460,H,359520,13787,4,,3,Male,3,3,4,0,0
404596,7/3/2017 2:37,206637,H,396664,51181,1,,9,Female,3,3,4,0,0
341329,7/3/2017 2:37,878956,H,359520,13787,2,,2,Male,2,3,,0,0
153591,7/3/2017 2:37,878956,B,359520,13787,2,,2,Male,2,3,,0,0
344890,7/3/2017 2:38,8930,H,359520,13787,2,,4,Male,4,3,3,0,0
353073,7/3/2017 2:38,313860,C,359520,13787,5,,9,Female,3,3,,1,0
213284,7/3/2017 2:38,313860,H,414149,45962,4,,9,Female,3,3,,1,0
255323,7/3/2017 2:38,94514,I,396664,51181,1,,,,,,,0,0
253483,7/3/2017 2:38,141493,I,396664,51181,1,,1,Male,1,3,2,0,0
352831,7/3/2017 2:38,1098778,C,359520,13787,5,,3,Male,3,3,,0,0
352811,7/3/2017 2:38,584496,C,359520,13787,5,,2,Male,2,3,,1,0
144658,7/3/2017 2:38,584496,C,359520,13787,4,,2,Male,2,3,,1,0
325736,7/3/2017 2:38,303433,B,396664,51181,1,,,,,,,0,0
246251,7/3/2017 2:38,297275,C,396664,51181,1,,1,Male,1,3,3,1,0
22178,7/3/2017 2:38,313860,C,360936,13787,5,,9,Female,3,3,,1,0
477350,7/3/2017 2:38,767964,H,359520,13787,4,,3,Male,3,3,1,0,0
478124,7/3/2017 2:39,878956,H,359520,13787,4,,2,Male,2,3,,0,0
21675,7/3/2017 2:39,962338,C,360936,13787,5,,2,Male,2,3,2,0,0
479132,7/3/2017 2:39,995729,H,359520,13787,4,,2,Male,2,3,1,0,0
341937,7/3/2017 2:39,995729,H,359520,13787,2,,2,Male,2,3,1,0,0
66236,7/3/2017 2:40,303433,C,405490,60305,3,,,,,,,0,0
288185,7/3/2017 2:40,303433,B,396664,51181,1,,,,,,,0,0
22924,7/3/2017 2:40,303433,B,396664,51181,1,,,,,,,0,0
251302,7/3/2017 2:40,822382,I,396664,51181,1,,2,Male,2,2,,0,0
136546,7/3/2017 2:40,767964,C,359520,13787,4,,3,Male,3,3,1,0,0
178552,7/3/2017 2:40,725248,C,359520,13787,4,,10,Female,4,3,2,1,0
343898,7/3/2017 2:40,725248,H,359520,13787,2,,10,Female,4,3,2,1,0
544529,7/3/2017 2:40,962953,C,82320,1734,1,,2,Male,2,3,2,0,0
